# 'Tdn_K_76.8G'	'Rdn_Ohm_76.8G'
219.647	0.652289
219.544	0.651746
219.44	0.653088
219.337	0.652186
219.237	0.651642
219.136	0.651204
219.034	0.65061
218.933	0.64968
218.831	0.650997
218.727	0.649784
218.625	0.648674
218.524	0.648777
218.419	0.648647
218.316	0.650559
218.215	0.650533
218.112	0.647795
218.011	0.646659
217.907	0.64764
217.808	0.64826
217.702	0.647202
217.602	0.646892
217.501	0.646608
217.398	0.646763
217.296	0.64591
217.197	0.646117
217.093	0.646272
216.993	0.645781
216.889	0.645704
216.787	0.645755
216.686	0.644956
216.581	0.645187
216.481	0.643019
216.375	0.644386
216.273	0.643224
216.168	0.64418
216.063	0.642889
215.964	0.642373
215.863	0.641598
215.76	0.642812
215.66	0.642966
215.557	0.641623
215.457	0.642217
215.357	0.642114
215.254	0.641779
215.152	0.640487
215.052	0.640642
214.949	0.640228
214.846	0.640022
214.746	0.640875
214.644	0.640487
214.542	0.639713
214.439	0.639197
214.339	0.640564
214.236	0.639556
214.134	0.638706
214.032	0.638446
213.929	0.63837
213.829	0.638422
213.726	0.637466
213.624	0.637104
213.523	0.636898
213.419	0.637647
213.316	0.634806
213.214	0.637879
213.112	0.636821
213.008	0.636561
212.907	0.636201
212.804	0.635065
212.703	0.636434
212.6	0.635451
212.501	0.634186
212.4	0.633154
212.298	0.634212
212.196	0.634393
212.093	0.633515
211.99	0.633412
211.89	0.632869
211.789	0.632507
211.688	0.633851
211.583	0.632043
211.483	0.630881
211.382	0.632766
211.28	0.631422
211.179	0.632275
211.075	0.631346
210.972	0.631526
210.87	0.630621
210.769	0.630209
210.667	0.628894
210.567	0.630623
210.464	0.630881
210.363	0.630157
210.261	0.630132
210.159	0.627964
210.056	0.629435
209.955	0.629047
209.857	0.627963
209.754	0.627989
209.654	0.625664
209.552	0.627318
209.45	0.627266
209.348	0.626955
209.246	0.62649
209.145	0.625793
209.044	0.625845
208.941	0.624942
208.839	0.625819
208.738	0.625535
208.636	0.626181
208.533	0.624993
208.43	0.624864
208.325	0.625381
208.226	0.624579
208.121	0.624735
208.021	0.623262
207.918	0.624245
207.815	0.622746
207.714	0.624114
207.613	0.622385
207.508	0.622591
207.407	0.622978
207.309	0.622178
207.206	0.622204
207.104	0.6213
207.001	0.621042
206.899	0.620319
206.798	0.620577
206.695	0.619647
206.593	0.619518
206.491	0.619906
206.388	0.619648
206.286	0.61833
206.185	0.618691
206.082	0.617478
205.981	0.617943
205.876	0.61802
205.774	0.616497
205.672	0.617969
205.571	0.61833
205.468	0.61673
205.364	0.617246
205.263	0.616135
205.164	0.615515
205.06	0.615232
204.958	0.614767
204.856	0.615387
204.755	0.615335
204.65	0.614818
204.549	0.612597
204.447	0.613863
204.346	0.613089
204.245	0.612468
204.143	0.615567
204.041	0.613372
203.939	0.611926
203.836	0.611642
203.735	0.612985
203.633	0.613295
203.528	0.61177
203.429	0.611127
203.327	0.611254
203.225	0.611564
203.124	0.610634
203.024	0.609189
202.923	0.609911
202.821	0.610041
202.72	0.609834
202.617	0.608724
202.513	0.609058
202.411	0.609343
202.308	0.609369
202.204	0.608336
202.102	0.607304
202	0.607665
201.9	0.606554
201.798	0.6072
201.696	0.606942
201.595	0.605316
201.493	0.605805
201.388	0.60534
201.288	0.606244
201.186	0.606348
201.084	0.605392
200.982	0.604798
200.881	0.605342
200.779	0.604385
200.68	0.604773
200.576	0.602552
200.474	0.604644
200.372	0.601879
200.271	0.603249
200.171	0.602836
200.071	0.60374
199.969	0.602474
199.868	0.601389
199.768	0.603662
199.665	0.601571
199.564	0.602217
199.462	0.600873
199.361	0.599737
199.258	0.600331
199.156	0.600254
199.053	0.598781
198.952	0.597671
198.85	0.599195
198.746	0.598988
198.645	0.597825
198.543	0.598317
198.44	0.598729
198.339	0.598059
198.238	0.598187
198.136	0.597
198.034	0.597645
197.932	0.596277
197.833	0.597517
197.731	0.596121
197.629	0.596353
197.526	0.595993
197.425	0.595966
197.325	0.596173
197.221	0.596198
197.119	0.59452
197.018	0.593977
196.917	0.594391
196.815	0.593977
196.714	0.594107
196.612	0.593126
196.509	0.592197
196.407	0.591989
196.304	0.592533
196.202	0.592454
196.097	0.592299
195.996	0.590207
195.894	0.590156
195.793	0.590854
195.691	0.590183
195.59	0.591447
195.487	0.590854
195.385	0.589459
195.284	0.589639
195.182	0.589279
195.079	0.589277
194.978	0.588503
194.876	0.588297
194.774	0.58889
194.673	0.589252
194.57	0.588167
194.469	0.5892
