# Tdn_K_93G	Rdn_Ohm_93G	'Rdn/R5k_Ohm_93G'
198.418	0.462923	1.12205
198.313	0.462953	1.12212
198.207	0.462788	1.12172
198.1	0.462549	1.12114
197.992	0.462606	1.12128
197.886	0.462492	1.121
197.777	0.462418	1.12082
197.671	0.462252	1.12042
197.565	0.462158	1.12019
197.459	0.462107	1.12007
197.356	0.462035	1.11989
197.248	0.462076	1.11999
197.141	0.461997	1.1198
197.034	0.461789	1.1193
196.929	0.461691	1.11906
196.825	0.461826	1.11939
196.72	0.461249	1.11799
196.613	0.461587	1.11881
196.505	0.461311	1.11814
196.399	0.461363	1.11827
196.291	0.461145	1.11774
196.187	0.461166	1.11779
196.081	0.460969	1.11731
195.973	0.460802	1.11691
195.867	0.461166	1.11779
195.759	0.460749	1.11678
195.65	0.460838	1.11699
195.544	0.46076	1.1168
195.436	0.460391	1.11591
195.332	0.460646	1.11653
195.221	0.460428	1.116
195.115	0.460376	1.11587
195.008	0.460199	1.11544
194.901	0.45983	1.11455
194.792	0.460059	1.1151
194.685	0.460137	1.11529
194.577	0.459663	1.11415
194.471	0.460032	1.11504
194.365	0.4597	1.11424
194.26	0.459507	1.11377
194.151	0.459585	1.11396
194.044	0.459393	1.11349
193.938	0.459502	1.11376
193.829	0.459439	1.1136
193.724	0.459362	1.11341
193.621	0.458952	1.11242
193.514	0.459201	1.11303
193.409	0.45918	1.11298
193.302	0.459029	1.11261
193.195	0.459148	1.1129
193.087	0.458748	1.11193
192.981	0.458941	1.1124
192.873	0.458645	1.11168
192.769	0.458873	1.11223
192.661	0.458281	1.11079
192.554	0.458498	1.11132
192.448	0.458161	1.1105
192.343	0.458188	1.11057
192.236	0.458162	1.11051
192.13	0.458177	1.11054
192.023	0.458192	1.11058
191.916	0.457902	1.10988
191.81	0.458229	1.11067
191.703	0.457734	1.10947
191.597	0.457574	1.10908
191.49	0.457584	1.10911
191.381	0.457771	1.10956
191.274	0.457668	1.10931
191.167	0.457402	1.10867
191.061	0.457303	1.10843
190.962	0.457241	1.10827
190.853	0.457153	1.10806
190.745	0.457189	1.10815
190.64	0.457075	1.10787
190.533	0.457204	1.10819
190.428	0.456752	1.10709
190.322	0.456949	1.10757
190.215	0.456549	1.1066
190.108	0.456794	1.10719
190.004	0.456736	1.10705
189.895	0.456435	1.10632
189.791	0.456492	1.10646
189.681	0.456716	1.107
189.573	0.45643	1.10631
189.466	0.456425	1.1063
189.359	0.456253	1.10588
189.249	0.456123	1.10556
189.149	0.456149	1.10563
189.037	0.456066	1.10543
188.929	0.45592	1.10507
188.821	0.455822	1.10484
