# 'Tdn_K_123.5G'	'Rdn_Ohm_123.5G'	'Rdn/R5k_Ohm_123.5G'
227.466	0.428024	1.04549
227.357	0.427994	1.04546
227.256	0.427981	1.04541
227.154	0.427972	1.04538
227.045	0.427958	1.04533
226.941	0.427936	1.04529
226.835	0.427915	1.04526
226.733	0.4279	1.04521
226.626	0.427884	1.04518
226.52	0.427863	1.04511
226.413	0.427854	1.04507
226.307	0.427828	1.04506
226.202	0.42782	1.04503
226.097	0.427807	1.04497
225.991	0.427797	1.04495
225.885	0.427781	1.04488
225.781	0.427762	1.04484
225.676	0.427744	1.0448
225.57	0.427715	1.04478
225.466	0.427715	1.04471
225.362	0.427715	1.04467
225.251	0.427693	1.04464
225.147	0.427673	1.04462
225.042	0.427652	1.04455
224.935	0.427631	1.04456
224.831	0.427641	1.04451
224.726	0.427602	1.04437
224.618	0.427597	1.04434
224.514	0.427581	1.04433
224.406	0.427565	1.04425
224.299	0.427536	1.0442
224.196	0.427524	1.0442
224.091	0.427497	1.04416
223.983	0.427502	1.04409
223.881	0.427472	1.04406
223.78	0.427466	1.04404
223.675	0.427445	1.044
223.567	0.427436	1.04395
223.465	0.427422	1.0439
223.363	0.427404	1.04386
223.255	0.427389	1.04382
223.151	0.427363	1.04377
223.046	0.427344	1.04375
222.941	0.427337	1.04369
222.837	0.427312	1.04367
222.732	0.427296	1.04363
222.627	0.427285	1.04361
222.523	0.42728	1.04357
222.412	0.427246	1.04353
222.313	0.427239	1.04348
222.206	0.427229	1.04341
222.101	0.427211	1.04341
221.995	0.427199	1.04341
221.891	0.427178	1.04336
221.782	0.427171	1.04331
221.678	0.427151	1.04326
221.571	0.42711	1.04321
221.469	0.427119	1.04323
221.362	0.427094	1.04314
221.256	0.427075	1.04312
221.15	0.42705	1.04308
221.044	0.427037	1.04304
220.937	0.427025	1.04297
220.832	0.427002	1.04294
220.727	0.426989	1.04288
220.623	0.426981	1.04289
220.515	0.426957	1.04282
220.412	0.426961	1.0428
220.308	0.426937	1.04275
220.2	0.426905	1.04273
220.094	0.426902	1.0427
219.988	0.42689	1.04265
219.882	0.42686	1.04261
219.78	0.426847	1.04255
219.676	0.426845	1.04251
219.569	0.426815	1.04249
