# Tdn_K_80G	Rdn_Ohm_80G
226.341	0.782065
226.237	0.781847
226.138	0.781719
226.04	0.781579
225.938	0.781251
225.836	0.781106
225.735	0.781159
225.631	0.780895
225.529	0.780706
225.426	0.780516
225.32	0.780288
225.219	0.78023
225.118	0.78011
225.016	0.779783
224.912	0.779802
224.811	0.779564
224.706	0.779427
224.606	0.779375
224.503	0.779109
224.401	0.778852
224.301	0.778706
224.201	0.778665
224.093	0.778415
223.987	0.77834
223.886	0.778065
223.782	0.777889
223.683	0.777789
223.582	0.777659
223.477	0.77756
223.377	0.777315
223.279	0.777157
223.175	0.776869
223.074	0.776788
222.97	0.776749
222.863	0.776489
222.766	0.776294
222.665	0.776208
222.564	0.776005
222.464	0.775947
222.357	0.775671
222.257	0.775374
222.157	0.775338
222.055	0.775312
221.953	0.775158
221.854	0.774862
221.752	0.77481
221.651	0.774496
221.551	0.774508
221.45	0.774267
221.345	0.77403
221.244	0.774127
221.138	0.773912
221.04	0.773723
220.937	0.773358
220.834	0.773324
220.73	0.773229
220.627	0.772957
220.522	0.772793
220.415	0.772616
220.311	0.772676
220.203	0.77253
220.101	0.772218
220.002	0.772102
219.903	0.771829
219.798	0.771704
219.702	0.771691
219.595	0.771376
219.491	0.771352
219.388	0.770987
219.288	0.770856
219.187	0.770718
219.09	0.770742
218.989	0.77036
218.887	0.770347
218.786	0.770187
218.68	0.769973
218.576	0.769882
218.472	0.769761
218.374	0.76951
218.268	0.769194
218.161	0.769174
218.06	0.769021
217.959	0.768967
217.856	0.768691
217.751	0.768543
217.652	0.768504
217.554	0.768184
217.453	0.768105
217.387	0.767992
217.269	0.767795
217.173	0.767542
217.075	0.767586
216.971	0.767197
216.873	0.767187
216.771	0.76695
216.67	0.767028
216.564	0.766723
216.462	0.766516
216.363	0.766259
216.262	0.766207
216.164	0.766139
216.061	0.766
215.958	0.765681
215.857	0.765716
215.753	0.765421
215.649	0.765411
215.542	0.765142
215.443	0.765123
215.344	0.764667
215.243	0.764454
215.14	0.764553
215.032	0.764379
214.932	0.764318
214.828	0.763789
214.722	0.76385
214.623	0.763721
214.517	0.763645
214.416	0.763606
214.313	0.763287
214.211	0.763162
214.108	0.763009
214.006	0.762843
213.905	0.762484
213.801	0.762352
213.696	0.762424
213.598	0.7621
213.501	0.761974
213.403	0.761767
213.297	0.761683
213.195	0.76142
213.094	0.76124
212.99	0.761201
212.887	0.761043
212.785	0.760846
212.686	0.760963
212.585	0.760574
212.485	0.760534
212.386	0.760153
212.282	0.760184
212.18	0.759809
212.075	0.759804
211.975	0.759627
211.876	0.759471
211.778	0.75951
211.671	0.759126
211.57	0.759017
211.47	0.758769
211.367	0.758733
211.267	0.758681
211.165	0.75833
211.061	0.75833
210.96	0.758135
210.858	0.758005
210.757	0.757644
210.651	0.757509
210.55	0.757403
210.446	0.757222
210.345	0.75706
210.247	0.756965
210.145	0.756863
210.037	0.756533
209.934	0.756645
209.825	0.756248
209.728	0.756079
209.623	0.755985
209.524	0.755894
209.42	0.755848
209.317	0.755496
209.215	0.755424
209.112	0.755263
209.009	0.755019
208.906	0.754871
208.805	0.754754
208.706	0.754387
208.598	0.754364
208.5	0.754205
208.4	0.75415
208.3	0.753953
208.203	0.753796
208.096	0.753695
207.991	0.753459
207.893	0.75339
207.791	0.753113
207.688	0.753139
207.59	0.752729
207.491	0.752831
207.389	0.752441
207.292	0.75257
207.19	0.752325
207.092	0.752151
206.989	0.751969
206.887	0.751736
206.784	0.75159
206.68	0.751379
206.576	0.751283
206.474	0.750984
206.371	0.750845
206.272	0.750756
206.167	0.750594
206.067	0.750223
205.999	0.750422
205.9	0.750263
205.799	0.749903
205.699	0.749843
205.599	0.749663
205.5	0.749446
205.397	0.749293
205.294	0.749113
205.197	0.748934
205.093	0.748632
204.99	0.748707
204.889	0.748577
204.789	0.748426
204.693	0.748328
204.589	0.748138
204.487	0.748062
204.385	0.747725
204.287	0.747683
204.185	0.747316
204.085	0.747277
203.98	0.747181
203.875	0.747038
203.773	0.746784
203.677	0.746663
203.573	0.746387
203.469	0.746186
203.366	0.746191
203.268	0.745796
203.161	0.745624
203.057	0.745445
202.956	0.745353
202.854	0.745332
202.75	0.74498
202.65	0.744855
202.544	0.744769
202.446	0.744465
202.338	0.744408
202.239	0.744169
202.134	0.74415
202.035	0.744059
201.933	0.743849
201.83	0.743675
201.731	0.743399
201.628	0.743448
201.523	0.743251
201.423	0.742897
201.316	0.742908
201.218	0.742664
201.116	0.742546
201.014	0.742374
200.911	0.742268
200.811	0.742104
200.71	0.742053
200.608	0.741775
200.509	0.741634
200.405	0.741588
200.301	0.74119
200.203	0.741306
200.102	0.741077
199.999	0.740938
199.895	0.740734
199.794	0.740682
199.692	0.740483
199.586	0.740287
199.485	0.740097
199.384	0.739945
199.275	0.739787
199.171	0.739597
199.068	0.739432
198.965	0.73934
198.858	0.739196
198.757	0.73905
198.654	0.738652
198.553	0.738765
198.453	0.738681
198.351	0.738509
198.25	0.738333
198.151	0.738112
198.045	0.737818
197.942	0.737855
197.842	0.73761
197.738	0.737491
197.639	0.737288
197.541	0.73728
197.444	0.737221
197.34	0.736927
197.237	0.736744
197.136	0.736594
197.035	0.736425
196.931	0.736152
196.829	0.736146
196.731	0.736015
196.629	0.735847
196.522	0.735661
196.418	0.735537
196.319	0.735321
196.215	0.735114
196.116	0.735086
196.011	0.735037
195.913	0.734759
195.808	0.734485
195.709	0.734583
195.609	0.734275
195.502	0.734143
195.402	0.73388
195.299	0.733707
195.197	0.733646
195.027	0.733445
194.927	0.733244
194.824	0.733137
194.721	0.732745
194.622	0.732831
194.52	0.732749
194.417	0.732635
194.314	0.732184
194.212	0.732226
194.113	0.732066
194.013	0.731841
193.907	0.731777
