# 'raman_27.6G_p1'	'Int_27.6G_p1'
563.844	3434.18
564.499	3415.64
565.154	3396.55
565.808	3405.09
566.462	3400.73
567.117	3446.73
567.771	3419.64
568.425	3433.45
569.079	3411.27
569.733	3410.55
570.387	3416.36
571.041	3432.73
571.695	3351.27
572.349	3360
573.002	3384.18
573.656	3433.09
574.309	3386.73
574.963	3390.55
575.616	3435.09
576.269	3418.36
576.923	3424.18
577.576	3385.82
578.229	3409.45
578.882	3416
579.535	3418.73
580.188	3387.82
580.84	3426.18
581.493	3414.91
582.146	3389.64
582.798	3374.91
583.451	3399.82
584.103	3400.73
584.755	3352.36
585.408	3420
586.06	3369.64
586.712	3405.64
587.364	3351.64
588.016	3386.18
588.668	3370.55
589.32	3426.55
589.972	3403.09
590.623	3378.36
591.275	3363.27
591.926	3393.64
592.578	3366.18
593.229	3395.64
593.881	3390.91
594.532	3376.73
595.183	3390
595.834	3378.91
596.485	3325.09
597.136	3340
597.787	3388
598.438	3364.91
599.089	3358.55
599.739	3419.64
600.39	3379.64
601.04	3375.82
601.691	3354.91
602.341	3417.82
602.992	3391.45
603.642	3328.36
604.292	3352.55
604.942	3348.36
605.592	3372
606.242	3359.64
606.892	3334.91
607.542	3358
608.192	3330
608.841	3386.18
609.491	3381.64
610.14	3326.55
610.79	3296.73
611.439	3357.09
612.088	3393.27
612.738	3381.45
613.387	3352
614.036	3310.36
614.685	3350.91
615.334	3360.55
615.983	3364.18
616.631	3390.55
617.28	3361.64
617.929	3343.82
618.577	3332.55
619.226	3318.55
619.874	3317.09
620.523	3313.82
621.171	3379.64
621.819	3356.91
622.467	3303.27
623.115	3350.73
623.763	3324.73
624.411	3318.91
625.059	3332.36
625.707	3343.27
626.355	3351.45
627.002	3348.36
627.65	3342.73
628.297	3344.36
628.945	3346
629.592	3338.55
630.239	3320.55
630.887	3351.27
631.534	3294.73
632.181	3353.82
632.828	3292.91
633.475	3348.55
634.122	3322.18
634.768	3306.55
635.415	3326.36
636.062	3292.36
636.708	3365.45
637.355	3275.45
638.001	3324.73
638.647	3290.91
639.294	3305.82
639.94	3296.18
640.586	3270.55
641.232	3332.18
641.878	3302.73
642.524	3325.64
643.17	3317.09
643.816	3311.82
644.461	3329.45
645.107	3347.27
645.752	3315.64
646.398	3335.09
647.043	3275.45
647.689	3335.45
648.334	3334.73
648.979	3326
649.624	3272.91
650.269	3279.27
650.914	3307.82
651.559	3295.45
652.204	3346.91
652.849	3342.55
653.493	3294
654.138	3338.91
654.783	3261.82
655.427	3338.55
656.071	3293.82
656.716	3275.64
657.36	3294.73
658.004	3305.27
658.648	3355.27
659.292	3280.36
659.936	3304.91
660.58	3299.45
661.224	3317.45
661.868	3288
662.512	3341.27
663.155	3306.91
663.799	3290.36
664.442	3288
665.086	3305.27
665.729	3298.91
666.372	3360.73
667.015	3274.36
667.658	3267.09
668.301	3314.55
668.944	3322.91
669.587	3278
670.23	3297.27
670.873	3339.82
671.516	3355.09
672.158	3311.27
672.801	3263.64
673.443	3294.36
674.086	3338.91
674.728	3312.55
675.37	3278.36
676.012	3312
676.654	3302.55
677.296	3269.27
677.938	3264
678.58	3233.27
679.222	3346.36
679.864	3289.64
680.506	3308.36
681.147	3300.91
681.789	3299.45
682.43	3284.18
683.072	3360.73
683.713	3257.45
684.354	3290.73
684.995	3324.55
685.636	3328.36
686.277	3279.27
686.918	3295.82
687.559	3253.82
688.2	3267.64
688.841	3301.82
689.482	3269.27
690.122	3277.09
690.763	3285.09
691.403	3267.45
692.044	3272.55
692.684	3297.82
