# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.983304060E+00  2.283760834E+02
6.998044852E+00  2.284054413E+02
7.012785644E+00  2.285071411E+02
7.027526436E+00  2.288251495E+02
7.042267229E+00  2.289429321E+02
7.057008021E+00  2.302304840E+02
7.071748813E+00  2.299448853E+02
7.086489605E+00  2.299097748E+02
7.101230397E+00  2.291141968E+02
7.115971189E+00  2.293452606E+02
7.130711981E+00  2.295737305E+02
7.145452773E+00  2.304806976E+02
7.160193565E+00  2.308999939E+02
7.174934358E+00  2.304922180E+02
7.189675150E+00  2.297290497E+02
7.204415942E+00  2.296656494E+02
7.219156734E+00  2.296203003E+02
7.233897526E+00  2.295465240E+02
7.248638318E+00  2.298470154E+02
7.263379110E+00  2.302086792E+02
7.278119902E+00  2.307302704E+02
7.292860694E+00  2.314548492E+02
7.307601487E+00  2.323509674E+02
7.322342279E+00  2.327748566E+02
7.337083071E+00  2.320402374E+02
7.351823863E+00  2.314580536E+02
7.366564655E+00  2.314304352E+02
7.381305447E+00  2.314922180E+02
7.396046239E+00  2.316519470E+02
7.410787031E+00  2.318299713E+02
7.425527823E+00  2.327222748E+02
7.440268616E+00  2.334822388E+02
7.455009408E+00  2.338121338E+02
7.469750200E+00  2.340899353E+02
7.484490992E+00  2.337176208E+02
7.499231784E+00  2.336991425E+02
7.513972576E+00  2.332706909E+02
7.528713368E+00  2.332390747E+02
7.543454160E+00  2.328947601E+02
7.558194953E+00  2.326401520E+02
7.572935745E+00  2.320778809E+02
7.587676537E+00  2.333372498E+02
7.602417329E+00  2.340752716E+02
7.617158121E+00  2.345420990E+02
7.631898913E+00  2.344395905E+02
7.646639705E+00  2.346615448E+02
7.661380497E+00  2.353651733E+02
7.676121289E+00  2.357115784E+02
7.690862082E+00  2.361975403E+02
7.705602874E+00  2.360464783E+02
7.720343666E+00  2.355793152E+02
7.735084458E+00  2.354263000E+02
7.749825250E+00  2.354703674E+02
7.764566042E+00  2.356641998E+02
7.779306834E+00  2.361983795E+02
7.794047626E+00  2.368535919E+02
7.808788418E+00  2.372192383E+02
7.823529211E+00  2.366675720E+02
7.838270003E+00  2.365580750E+02
7.853010795E+00  2.366302185E+02
7.867751587E+00  2.377418365E+02
7.882492379E+00  2.379857178E+02
7.897233171E+00  2.382121582E+02
7.911973963E+00  2.376146698E+02
7.926714755E+00  2.381634369E+02
7.941455547E+00  2.392814026E+02
7.956196340E+00  2.400963745E+02
